Date       ,Name                                                                 ,Year ,Letterboxd URI
2020-12-31 ,A Clockwork Orange                                                   ,1971 ,https://boxd.it/2aVE
2020-12-31 ,Saving Private Ryan                                                  ,1998 ,https://boxd.it/29ro
2020-12-31 ,North by Northwest                                                   ,1959 ,https://boxd.it/2aRM
2020-12-31 ,Reservoir Dogs                                                       ,1992 ,https://boxd.it/2agc
2020-12-31 ,Taxi Driver                                                          ,1976 ,https://boxd.it/2b8y
2020-12-31 ,Fight Club                                                           ,1999 ,https://boxd.it/2a9q
2020-12-31 ,Se7en                                                                ,1995 ,https://boxd.it/29zs
2020-12-31 ,Citizen Kane                                                         ,1941 ,https://boxd.it/71O
2020-12-31 ,Fargo                                                                ,1996 ,https://boxd.it/2aHM
2020-12-31 ,Raging Bull                                                          ,1980 ,https://boxd.it/28yI
2020-12-31 ,Moonlight                                                            ,2016 ,https://boxd.it/d6bE
2020-12-31 ,Little Women                                                         ,2019 ,https://boxd.it/aSVk
2020-12-31 ,Dog Day Afternoon                                                    ,1975 ,https://boxd.it/29bg
2020-12-31 ,Your Name.                                                           ,2016 ,https://boxd.it/cUqs
2020-12-31 ,Mulholland Drive                                                     ,2001 ,https://boxd.it/297o
2020-12-31 ,Howl's Moving Castle                                                 ,2004 ,https://boxd.it/23De
2020-12-31 ,Soul                                                                 ,2020 ,https://boxd.it/ioLA
2020-12-31 ,An Elephant Sitting Still                                            ,2018 ,https://boxd.it/i1EQ
2020-12-31 ,My Neighbor Totoro                                                   ,1988 ,https://boxd.it/20eA
2020-12-31 ,Z                                                                    ,1969 ,https://boxd.it/26pY
2020-12-31 ,The Departed                                                         ,2006 ,https://boxd.it/28MA
2020-12-31 ,Akira                                                                ,1988 ,https://boxd.it/2b1i
2020-12-31 ,Parasite                                                             ,2019 ,https://boxd.it/hTha
2020-12-31 ,The Godfather                                                        ,1972 ,https://boxd.it/2aNK
2020-12-31 ,The Godfather: Part II                                               ,1974 ,https://boxd.it/2aNq
2020-12-31 ,12 Angry Men                                                         ,1957 ,https://boxd.it/2auI
2020-12-31 ,Spirited Away                                                        ,2001 ,https://boxd.it/2b4m
2020-12-31 ,Portrait of a Lady on Fire                                           ,2019 ,https://boxd.it/jkPq
2020-12-31 ,Schindler's List                                                     ,1993 ,https://boxd.it/2aq2
2020-12-31 ,There Will Be Blood                                                  ,2007 ,https://boxd.it/20Z2
2020-12-31 ,Apocalypse Now                                                       ,1979 ,https://boxd.it/6ZS
2020-12-31 ,2001: A Space Odyssey                                                ,1968 ,https://boxd.it/2bf0
2020-12-31 ,Princess Mononoke                                                    ,1997 ,https://boxd.it/2b4w
2020-12-31 ,It's a Wonderful Life                                                ,1946 ,https://boxd.it/28xA
2020-12-31 ,One Flew Over the Cuckoo's Nest                                      ,1975 ,https://boxd.it/2aeA
2020-12-31 ,No Country for Old Men                                               ,2007 ,https://boxd.it/21ew
2020-12-31 ,Tenet                                                                ,2020 ,https://boxd.it/leq4
2020-12-31 ,Wonder Woman 1984                                                    ,2020 ,https://boxd.it/gBtA
2020-12-31 ,The Midnight Sky                                                     ,2020 ,https://boxd.it/mK6C
2020-12-31 ,Klaus                                                                ,2019 ,https://boxd.it/ipoi
2020-12-31 ,Joker                                                                ,2019 ,https://boxd.it/h4cS
2020-12-31 ,Jojo Rabbit                                                          ,2019 ,https://boxd.it/iEBG
2020-12-31 ,1917                                                                 ,2019 ,https://boxd.it/jj4y
2020-12-31 ,I'm Thinking of Ending Things                                        ,2020 ,https://boxd.it/i4IQ
2020-12-31 ,The Lighthouse                                                       ,2019 ,https://boxd.it/icFU
2020-12-31 ,The Nightmare Before Christmas                                       ,1993 ,https://boxd.it/1YzQ
2020-12-31 ,The Trial of the Chicago 7                                           ,2020 ,https://boxd.it/kn3w
2020-12-31 ,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn) ,2020 ,https://boxd.it/hSyO
2020-12-31 ,Mulan                                                                ,2020 ,https://boxd.it/bbK6
2020-12-31 ,Kill Bill: Vol. 1                                                    ,2003 ,https://boxd.it/70w
2020-12-31 ,Memento                                                              ,2000 ,https://boxd.it/2bcK
2020-12-31 ,The Devil All the Time                                               ,2020 ,https://boxd.it/i2tY
2020-12-31 ,Booksmart                                                            ,2019 ,https://boxd.it/igNS
2020-12-31 ,The Prestige                                                         ,2006 ,https://boxd.it/293w
2020-12-31 ,Borat Subsequent Moviefilm                                           ,2020 ,https://boxd.it/rNS0
2020-12-31 ,The Irishman                                                         ,2019 ,https://boxd.it/dYOq
2020-12-31 ,Birdman or (The Unexpected Virtue of Ignorance)                      ,2014 ,https://boxd.it/5RFA
2020-12-31 ,The Breakfast Club                                                   ,1985 ,https://boxd.it/27q4
2020-12-31 ,Amélie                                                               ,2001 ,https://boxd.it/2aUc
2020-12-31 ,A Quiet Place                                                        ,2018 ,https://boxd.it/fVJQ
2020-12-31 ,The Favourite                                                        ,2018 ,https://boxd.it/d2hI
2020-12-31 ,Requiem for a Dream                                                  ,2000 ,https://boxd.it/29VI
2020-12-31 ,The Hateful Eight                                                    ,2015 ,https://boxd.it/8gw8
2020-12-31 ,The Shape of Water                                                   ,2017 ,https://boxd.it/dZ5m
2020-12-31 ,The Revenant                                                         ,2015 ,https://boxd.it/8H5e
2020-12-31 ,(500) Days of Summer                                                 ,2009 ,https://boxd.it/1EmM
2020-12-31 ,Trainspotting                                                        ,1996 ,https://boxd.it/29XY
2020-12-31 ,Snowpiercer                                                          ,2013 ,https://boxd.it/3Icg
2020-12-31 ,Kill Bill: Vol. 2                                                    ,2004 ,https://boxd.it/2au4
2020-12-31 ,"I, Tonya"                                                           ,2017 ,https://boxd.it/dzR0
2020-12-31 ,Ferris Bueller's Day Off                                             ,1986 ,https://boxd.it/1YPY
2020-12-31 ,Roma                                                                 ,2018 ,https://boxd.it/f69M
2020-12-31 ,Memories of Murder                                                   ,2003 ,https://boxd.it/1TSo
2020-12-31 ,Being John Malkovich                                                 ,1999 ,https://boxd.it/2ahu
2020-12-31 ,Isle of Dogs                                                         ,2018 ,https://boxd.it/dZrW
2020-12-31 ,The Killing of a Sacred Deer                                         ,2017 ,https://boxd.it/dZ5G
2020-12-31 ,Juno                                                                 ,2007 ,https://boxd.it/210a
2020-12-31 ,The Nice Guys                                                        ,2016 ,https://boxd.it/94Hg
2020-12-31 ,V for Vendetta                                                       ,2005 ,https://boxd.it/29Ik
2020-12-31 ,Kiki's Delivery Service                                              ,1989 ,https://boxd.it/1JAY
2020-12-31 ,The King of Staten Island                                            ,2020 ,https://boxd.it/litG
2020-12-31 ,Frozen II                                                            ,2019 ,https://boxd.it/aPvo
2020-12-31 ,Annihilation                                                         ,2018 ,https://boxd.it/9yzm
2020-12-31 ,The Usual Suspects                                                   ,1995 ,https://boxd.it/29XE
2020-12-31 ,Groundhog Day                                                        ,1993 ,https://boxd.it/2b3e
2020-12-31 ,Euphoria: Trouble Don't Last Always                                  ,2020 ,https://boxd.it/ta4a
2020-12-31 ,Train to Busan                                                       ,2016 ,https://boxd.it/dSQU
2020-12-31 ,Eighth Grade                                                         ,2018 ,https://boxd.it/hDMG
2020-12-31 ,The Sixth Sense                                                      ,1999 ,https://boxd.it/29Js
2020-12-31 ,John Wick: Chapter 3 - Parabellum                                    ,2019 ,https://boxd.it/gmFw
2020-12-31 ,How to Train Your Dragon                                             ,2010 ,https://boxd.it/1WRy
2020-12-31 ,Ad Astra                                                             ,2019 ,https://boxd.it/ePzI
2020-12-31 ,John Wick: Chapter 2                                                 ,2017 ,https://boxd.it/ayGu
2020-12-31 ,Doctor Sleep                                                         ,2019 ,https://boxd.it/i5vI
2020-12-31 ,"Synecdoche, New York"                                               ,2008 ,https://boxd.it/23zw
2020-12-31 ,Sonic the Hedgehog                                                   ,2020 ,https://boxd.it/gdK8
2020-12-31 ,The Life Aquatic with Steve Zissou                                   ,2004 ,https://boxd.it/2aqw
2020-12-31 ,Jennifer's Body                                                      ,2009 ,https://boxd.it/1Efw
2020-12-31 ,The Darjeeling Limited                                               ,2007 ,https://boxd.it/24as
2020-12-31 ,Hacksaw Ridge                                                        ,2016 ,https://boxd.it/azew
2020-12-31 ,Lucy                                                                 ,2014 ,https://boxd.it/75hu
